customer_key,customer_number,name,age,age_group,customer_segment,last_order_date,recency,avg_order_value,avg_monthly_spending,total_orders,total_products,total_quantity,total_sales,lifespan
31,AW00011030,Bethany Yuan,67,60 and above,VIP,2013-11-09,137,2157,196,3,4,4,6471,33
32,AW00011031,Theresa Ramos,72,60 and above,VIP,2013-11-13,137,2159,196,3,6,6,6478,33
33,AW00011032,Denise Stone,73,60 and above,VIP,2013-11-08,137,2175,197,3,10,10,6525,33
34,AW00011033,Jaime Nath,67,60 and above,VIP,2013-11-05,137,2165,196,3,7,7,6495,33
35,AW00011034,Ebony Gonzalez,73,60 and above,VIP,2013-11-10,137,2163,196,3,4,4,6491,33
36,AW00011035,Wendy Dominguez,72,60 and above,VIP,2013-11-15,137,2150,195,3,5,5,6451,33
37,AW00011036,Jennifer Russell,41,40-59,New,2013-01-22,147,2355,2355,1,2,2,2355,0
38,AW00011037,Chloe Garcia,42,40-59,New,2013-01-20,147,2374,2374,1,7,7,2374,0
39,AW00011038,Diana Hernandez,72,60 and above,VIP,2013-11-12,137,2145,195,3,3,3,6437,33
40,AW00011039,Marc Martin,71,60 and above,VIP,2013-11-11,137,2212,201,3,8,9,6636,33
41,AW00011040,Jesse Murphy,42,40-59,New,2013-04-03,144,2351,2351,1,3,3,2351,0
42,AW00011041,Amanda Carter,42,40-59,New,2013-01-14,147,2381,2381,1,3,3,2381,0
43,AW00011042,Megan Sanchez,43,40-59,New,2013-10-17,138,1556,345,2,3,3,3112,9
44,AW00011043,Nathan Simmons,44,40-59,New,2013-08-18,140,24,16,2,3,3,48,3
45,AW00011044,Adam Flores,71,60 and above,VIP,2013-11-08,137,2171,197,3,7,7,6515,33
46,AW00011045,Leonard Nara,70,60 and above,New,2013-10-29,138,57,19,2,4,4,115,6
47,AW00011046,Christine Yuan,70,60 and above,VIP,2013-11-12,137,2205,200,3,6,6,6616,33
48,AW00011047,Jaclyn Lu,70,60 and above,VIP,2013-11-19,137,2194,199,3,4,4,6582,33
49,AW00011048,Jeremy Powell,69,60 and above,VIP,2013-12-25,136,2166,191,3,8,8,6498,34
50,AW00011049,Carol Rai,39,20-39,New,2013-10-29,138,40,11,2,5,5,81,7
51,AW00011050,Alan Zheng,68,60 and above,VIP,2013-11-19,137,1669,151,3,6,6,5007,33
52,AW00011051,Daniel Johnson,68,60 and above,New,2014-01-01,135,62,124,2,5,5,124,1
53,AW00011052,Heidi Lopez,68,60 and above,VIP,2013-05-27,143,2710,301,3,7,7,8131,27
54,AW00011053,Ana Price,39,20-39,New,2013-01-17,147,2330,2330,1,2,2,2330,0
55,AW00011054,Deanna Munoz,68,60 and above,VIP,2013-05-30,143,2741,304,3,6,6,8223,27
56,AW00011055,Gilbert Raje,68,60 and above,VIP,2013-06-07,142,2722,281,3,8,8,8168,29
57,AW00011056,Michele Nath,67,60 and above,VIP,2013-05-31,143,2735,303,3,8,8,8207,27
58,AW00011057,Carl Andersen,55,40-59,VIP,2013-05-21,143,2696,299,3,4,4,8088,27
59,AW00011058,Marc Diaz,60,60 and above,VIP,2013-06-04,142,2749,305,3,6,6,8248,27
60,AW00011059,Ashlee Andersen,66,60 and above,New,2013-03-16,145,39,117,3,6,7,117,1
61,AW00011060,Jon Zhou,66,60 and above,VIP,2013-06-25,142,2717,301,3,6,6,8153,27
62,AW00011061,Todd Gao,49,40-59,VIP,2013-06-14,142,2709,301,3,6,6,8129,27
63,AW00011062,Noah Powell,44,40-59,New,2013-01-07,147,2352,2352,1,3,3,2352,0
64,AW00011063,Angela Murphy,45,40-59,New,2013-01-12,147,2373,2373,1,5,5,2373,0
65,AW00011064,Chase Reed,44,40-59,New,2013-01-25,147,2305,2305,1,2,2,2305,0
66,AW00011065,Jessica Henderson,46,40-59,New,2014-01-10,135,101,18,2,4,5,202,11
67,AW00011066,Grace Butler,46,40-59,New,2013-09-19,139,40,20,2,5,5,81,4
68,AW00011067,Caleb Carter,43,40-59,New,2014-01-12,135,52,21,2,6,6,105,5
69,AW00011068,Tiffany Liang,59,40-59,New,2013-10-08,138,37,18,3,8,9,113,6
70,AW00011069,Carolyn Navarro,59,40-59,VIP,2013-06-04,142,2701,311,3,3,3,8104,26
71,AW00011070,Willie Raji,65,60 and above,VIP,2013-06-26,142,2721,314,3,9,10,8165,26
72,AW00011071,Linda Serrano,65,60 and above,New,2013-12-01,136,36,12,3,6,7,110,9
73,AW00011072,Casey Luo,65,60 and above,VIP,2013-06-15,142,2731,303,3,7,7,8194,27
74,AW00011073,Amy Ye,63,60 and above,New,2013-08-21,140,64,38,3,9,10,192,5
75,AW00011074,Levi Arun,63,60 and above,New,2013-05-27,143,31,47,3,7,7,94,2
76,AW00011075,Felicia Jimenez,62,60 and above,VIP,2013-06-24,142,2689,310,3,5,5,8068,26
77,AW00011076,Blake Anderson,62,60 and above,VIP,2013-06-21,142,2719,313,3,4,4,8159,26
78,AW00011077,Leah Ye,62,60 and above,VIP,2013-06-12,142,2723,314,3,5,5,8169,26
79,AW00011078,Gina Martin,40,40-59,New,2014-01-28,135,53,82,17,23,31,912,11
80,AW00011079,Donald Gonzalez,55,40-59,New,2014-01-01,135,19,5,3,5,5,58,10
81,AW00011080,Damien Chander,60,60 and above,VIP,2013-06-23,142,2734,315,3,7,7,8204,26
82,AW00011081,Savannah Baker,53,40-59,New,2013-04-13,144,52,52,2,5,5,104,2
83,AW00011082,Angela Butler,53,40-59,New,2013-11-06,137,1555,311,2,6,6,3110,10
84,AW00011083,Alyssa Cox,48,40-59,New,2013-11-08,137,1568,313,2,5,5,3137,10
85,AW00011084,Lucas Phillips,62,60 and above,New,2013-11-21,137,1539,307,2,5,5,3078,10
86,AW00011085,Emily Johnson,62,60 and above,New,2014-01-08,135,64,129,2,5,5,129,1
87,AW00011086,Ryan Brown,62,60 and above,New,2013-12-21,136,76,30,2,6,6,153,5
88,AW00011087,Tamara Liang,62,60 and above,New,2013-08-09,140,100,33,2,4,4,200,6
89,AW00011088,Hunter Davis,62,60 and above,New,2013-11-12,137,1588,317,2,7,7,3176,10
90,AW00011089,Abigail Price,63,60 and above,New,2013-11-18,137,1594,289,2,7,7,3188,11
91,AW00011090,Trevor Bryant,57,40-59,VIP,2013-11-21,137,2234,248,3,6,6,6703,27
92,AW00011091,Dalton Perez,63,60 and above,Regular,2014-01-08,135,42,98,28,25,59,1186,12
93,AW00011092,Cheryl Diaz,53,40-59,VIP,2013-06-21,142,2703,311,3,5,5,8110,26
94,AW00011093,Aimee He,47,40-59,VIP,2013-06-08,142,2726,314,3,7,7,8180,26
95,AW00011094,Cedric Ma,58,40-59,New,2014-01-11,135,78,26,3,8,8,236,9
96,AW00011095,Chad Kumar,57,40-59,VIP,2013-06-25,142,2719,313,3,7,7,8158,26
97,AW00011096,Andr├®s Anand,57,40-59,VIP,2013-07-30,141,2687,298,3,4,4,8063,27
98,AW00011097,Edwin Nara,53,40-59,VIP,2013-07-24,141,2699,299,3,5,5,8099,27
99,AW00011098,Mallory Rubio,59,40-59,New,2013-10-16,138,29,11,3,4,4,89,8
100,AW00011099,Adam Ross,59,40-59,VIP,2013-07-01,141,2738,304,3,8,9,8216,27
101,AW00011100,Latasha Navarro,59,40-59,VIP,2013-08-07,140,2724,291,3,7,7,8172,28
102,AW00011101,Abby Sai,55,40-59,VIP,2013-06-29,142,2754,317,3,7,7,8262,26
103,AW00011102,Julia Nelson,55,40-59,New,2013-12-09,136,34,20,3,5,5,103,5
104,AW00011103,Cassie Chande,44,40-59,VIP,2013-06-06,142,2727,314,3,8,8,8182,26
105,AW00011104,Edgar Sara,50,40-59,VIP,2013-06-15,142,2724,326,3,6,6,8173,25
106,AW00011105,Candace Fernandez,55,40-59,VIP,2013-06-05,142,2698,323,3,5,5,8096,25
107,AW00011106,Jessie Liu,55,40-59,VIP,2013-06-15,142,2693,323,3,3,3,8079,25
108,AW00011107,Bianca Lin,49,40-59,VIP,2013-06-21,142,2723,326,3,6,6,8171,25
109,AW00011108,Kari Alvarez,56,40-59,VIP,2013-06-23,142,2708,324,3,5,5,8124,25
110,AW00011109,Ruben Kapoor,45,40-59,VIP,2013-06-24,142,2748,329,3,8,8,8245,25
111,AW00011110,Curtis Yang,58,40-59,VIP,2013-08-20,140,2697,299,3,5,5,8093,27
112,AW00011111,Meredith Gutierrez,58,40-59,VIP,2013-08-22,140,2712,301,3,8,8,8137,27
113,AW00011112,Crystal Wang,57,40-59,VIP,2013-09-02,139,2765,296,3,6,6,8295,28
114,AW00011113,Micheal Blanco,52,40-59,New,2013-04-21,144,36,55,3,7,7,110,2
115,AW00011114,Leslie Moreno,58,40-59,New,2013-12-26,136,41,13,3,6,7,123,9
116,AW00011115,Alvin Cai,58,40-59,New,2014-01-02,135,38,10,3,6,6,114,11
117,AW00011116,Clinton Carlson,46,40-59,New,2013-10-16,138,49,21,3,7,7,149,7
118,AW00011117,April Deng,59,40-59,VIP,2013-06-25,142,2728,327,3,8,8,8185,25
119,AW00011118,Alvin Zeng,63,60 and above,New,2014-01-26,135,41,20,3,6,8,124,6
120,AW00011119,Evan James,85,60 and above,New,2013-11-23,137,42,9,2,4,4,85,9
121,AW00011120,Beth Jim├®nez,83,60 and above,VIP,2013-09-19,139,2747,294,3,10,10,8242,28
122,AW00011121,Orlando Suarez,59,40-59,New,2013-11-04,137,19,11,3,5,6,58,5
123,AW00011122,Byron Vazquez,60,60 and above,New,2013-08-22,140,14,7,3,3,3,43,6
124,AW00011123,Philip Alvarez,60,60 and above,New,2014-01-25,135,50,16,3,7,8,150,9
125,AW00011124,Ross Jordan,57,40-59,VIP,2013-06-18,142,2709,325,3,6,6,8129,25
126,AW00011125,Dana Navarro,64,60 and above,New,2013-07-03,141,26,13,3,7,7,79,6
127,AW00011126,Shaun Carson,71,60 and above,Regular,2013-11-03,137,1657,165,3,7,8,4971,30
128,AW00011127,Jan Edwards,44,40-59,New,2013-10-01,138,22,7,2,3,3,44,6
129,AW00011128,Samantha Long,44,40-59,New,2013-08-12,140,72,72,2,7,7,144,2
130,AW00011129,Julia Wright,44,40-59,VIP,2013-01-09,147,2936,345,2,2,2,5873,17
131,AW00011130,Caroline Russell,40,40-59,New,2013-12-09,136,37,37,1,2,2,37,0
132,AW00011131,Amanda Rivera,40,40-59,New,2014-01-23,135,33,55,5,9,9,166,3
133,AW00011132,Melissa Richardson,39,20-39,New,2013-04-09,144,2372,2372,1,6,6,2372,0
134,AW00011133,Angela Griffin,39,20-39,New,2013-12-30,136,72,72,1,4,4,72,0
135,AW00011134,Larry Townsend,68,60 and above,Regular,2013-11-03,137,1637,163,3,3,3,4911,30
136,AW00011135,Marcus Harris,40,40-59,New,2013-04-18,144,2335,2335,1,3,3,2335,0
137,AW00011136,Brianna Morgan,41,40-59,New,2013-01-03,147,2381,2381,1,3,3,2381,0
138,AW00011137,Jasmine Taylor,41,40-59,New,2014-01-20,135,101,33,2,4,5,202,6
139,AW00011138,Lauren Davis,41,40-59,New,2013-12-31,136,39,26,2,4,4,79,3
140,AW00011139,Tanya Moreno,76,60 and above,New,2013-10-17,138,42,84,2,3,3,84,1
141,AW00011140,Javier Alvarez,43,40-59,New,2013-03-19,145,40,40,1,2,2,40,0
142,AW00011141,Nicole Ramirez,43,40-59,New,2013-09-28,139,57,28,2,5,5,114,4
143,AW00011142,Eduardo Patterson,42,40-59,New,2014-01-13,135,57,89,17,23,36,979,11
144,AW00011143,Jonathan Henderson,43,40-59,New,2013-12-19,136,24,8,2,4,5,48,6
145,AW00011144,Edward Hernandez,40,40-59,New,2013-01-25,147,2400,2400,1,3,3,2400,0
146,AW00011145,Jasmine Coleman,40,40-59,New,2013-01-25,147,2310,2310,1,3,3,2310,0
147,AW00011146,Karla Goel,80,60 and above,New,2013-09-15,139,37,16,3,6,7,113,7
148,AW00011147,Ernest Wu,81,60 and above,VIP,2013-10-16,138,2731,282,3,7,7,8195,29
149,AW00011148,Ross Vazquez,78,60 and above,New,2013-12-03,136,42,14,3,5,6,126,9
150,AW00011149,Theodore Gill,79,60 and above,New,2013-11-29,137,13,8,3,4,4,41,5
151,AW00011150,Russell Shen,79,60 and above,New,2013-07-15,141,64,48,3,7,8,192,4
152,AW00011151,Melinda Gill,78,60 and above,VIP,2013-10-20,138,2695,278,3,6,6,8087,29
153,AW00011152,James Williams,44,40-59,New,2013-01-09,147,2295,2295,1,1,1,2295,0
154,AW00011153,Angela James,44,40-59,New,2013-03-29,145,55,110,2,5,5,110,0
155,AW00011154,Megan Walker,43,40-59,New,2013-01-10,147,2320,2320,1,1,1,2320,0
156,AW00011155,Hunter Robinson,44,40-59,New,2013-01-06,147,2320,2320,1,1,1,2320,0
157,AW00011156,Maria Roberts,44,40-59,New,2013-01-08,147,2390,2390,1,4,4,2390,0
158,AW00011157,Hannah Long,45,40-59,New,2013-09-11,139,20,20,2,3,3,41,2
159,AW00011158,Jason Wright,44,40-59,New,2013-01-19,147,2396,2396,1,3,3,2396,0
160,AW00011159,Brianna Hughes,44,40-59,New,2013-11-07,137,24,24,2,4,5,48,2
161,AW00011160,Maurice Tang,46,40-59,New,2013-02-21,146,2322,2322,1,2,2,2322,0
162,AW00011161,Emily Wood,46,40-59,New,2013-11-11,137,47,18,2,6,6,94,5
163,AW00011162,Chase Cox,46,40-59,New,2013-02-18,146,2330,2330,1,2,2,2330,0
164,AW00011163,Gabriel Wang,45,40-59,New,2013-08-05,140,23,15,2,4,4,46,3
165,AW00011164,Devin Brooks,46,40-59,New,2013-08-05,140,72,36,2,6,6,145,4
166,AW00011165,Jocelyn Alexander,46,40-59,New,2013-06-05,142,51,103,2,3,3,103,1
167,AW00011166,Ashley Martinez,48,40-59,New,2013-12-06,136,44,44,2,5,5,88,2
168,AW00011167,Jasmine Barnes,47,40-59,New,2013-11-28,137,1563,312,2,4,4,3126,10
169,AW00011168,David Rodriguez,52,40-59,New,2013-11-16,137,1568,313,2,7,7,3136,10
170,AW00011169,Bryce Richardson,52,40-59,New,2013-09-24,139,40,20,2,5,5,81,4
171,AW00011170,Carol Howard,52,40-59,New,2013-12-29,136,78,39,2,7,7,157,4
172,AW00011171,Jonathan Hill,47,40-59,VIP,2013-11-07,137,2238,248,3,8,8,6716,27
173,AW00011172,Gabrielle Adams,52,40-59,New,2014-01-11,135,64,16,2,6,7,129,8
174,AW00011173,Sarah Thomas,52,40-59,New,2013-12-24,136,51,11,2,3,3,103,9
175,AW00011174,Nicholas Robinson,52,40-59,New,2013-07-25,141,24,48,2,4,5,48,0
176,AW00011175,Luis Wang,57,40-59,VIP,2013-11-03,137,2236,248,3,8,8,6710,27
177,AW00011176,Mason Roberts,46,40-59,New,2014-01-27,135,47,119,28,27,60,1317,11
178,AW00011177,Jose Flores,77,60 and above,New,2013-10-14,138,67,19,2,6,6,135,7
179,AW00011178,Nathan Johnson,71,60 and above,New,2013-05-26,143,72,48,2,6,6,145,3
180,AW00011179,Molly Rodriguez,66,60 and above,New,2014-01-09,135,62,12,2,6,6,125,10
181,AW00011180,April Anand,77,60 and above,New,2013-09-25,139,69,23,2,6,6,138,6
182,AW00011181,Devin Martin,65,60 and above,New,2013-07-11,141,20,20,2,3,3,41,2
183,AW00011182,Stephanie Torres,75,60 and above,New,2014-01-05,135,40,16,2,5,5,81,5
184,AW00011183,Jasmine Lee,75,60 and above,New,2013-06-13,142,23,23,2,4,4,46,2
185,AW00011184,Meghan Hernandez,70,60 and above,New,2013-10-09,138,34,34,2,5,5,68,2
186,AW00011185,Ashley Henderson,75,60 and above,New,2014-01-26,135,59,146,27,29,68,1616,11
187,AW00011186,Sarah Price,76,60 and above,New,2014-01-07,135,20,13,2,3,3,41,3
188,AW00011187,Jennifer Cooper,76,60 and above,New,2013-08-06,140,54,27,2,4,4,108,4
189,AW00011188,Catherine Morris,75,60 and above,New,2014-01-21,135,40,40,2,5,5,81,2
190,AW00011189,Lawrence Blanco,75,60 and above,VIP,2013-02-05,146,2972,330,2,6,6,5944,18
191,AW00011190,Carson Bryant,76,60 and above,New,2014-01-16,135,23,9,2,4,4,46,5
192,AW00011191,Kristi Perez,74,60 and above,VIP,2013-11-06,137,2247,249,3,7,7,6743,27
193,AW00011192,James Brown,74,60 and above,New,2013-09-25,139,57,38,2,5,5,114,3
194,AW00011193,Ian Gray,75,60 and above,New,2013-08-18,140,20,6,2,3,3,41,6
195,AW00011194,Jacqueline Price,75,60 and above,New,2013-12-08,136,52,11,2,6,6,105,9
196,AW00011195,Megan Henderson,74,60 and above,New,2013-10-22,138,52,17,2,6,6,105,6
197,AW00011196,Alfredo Romero,74,60 and above,New,2013-09-24,139,81,27,2,4,4,162,6
198,AW00011197,Andrea Morris,74,60 and above,New,2013-07-20,141,103,103,2,5,6,207,2
199,AW00011198,Brooke Sanders,73,60 and above,New,2013-02-13,146,49,98,2,4,4,98,0
200,AW00011199,Jacqueline Bennett,68,60 and above,New,2013-10-17,138,66,18,2,6,6,132,7
201,AW00011200,Jason Griffin,72,60 and above,New,2014-01-20,135,54,132,27,26,55,1461,11
202,AW00011201,Amanda Foster,72,60 and above,New,2013-09-09,139,90,90,2,6,6,181,2
203,AW00011202,Alexia Price,67,60 and above,New,2013-09-21,139,37,74,2,3,3,74,0
204,AW00011203,Luis Diaz,66,60 and above,New,2013-12-11,136,47,80,17,19,32,800,10
205,AW00011204,Destiny Rivera,72,60 and above,New,2013-11-10,137,38,25,2,4,4,77,3
206,AW00011205,Abby Fernandez,71,60 and above,New,2013-10-08,138,18,12,2,2,2,37,3
207,AW00011206,Blake Flores,71,60 and above,New,2013-05-30,143,38,77,2,4,4,77,0
208,AW00011207,Danielle Cox,71,60 and above,New,2013-10-18,138,38,8,2,4,4,77,9
209,AW00011208,Maria Reed,72,60 and above,New,2013-09-17,139,67,22,2,7,7,134,6
210,AW00011209,Allison Evans,72,60 and above,New,2014-01-22,135,18,3,2,2,2,37,10
211,AW00011210,Edward Wood,72,60 and above,New,2013-09-06,139,35,17,2,5,5,70,4
212,AW00011211,Samantha Russell,65,60 and above,New,2014-01-07,135,46,72,17,22,33,792,11
213,AW00011212,Chloe Campbell,70,60 and above,Regular,2014-01-17,135,48,68,17,20,33,824,12
214,AW00011213,Stephanie Murphy,71,60 and above,New,2013-09-09,139,38,12,2,4,4,77,6
215,AW00011214,Charles Miller,70,60 and above,New,2013-11-19,137,81,54,2,4,4,162,3
216,AW00011215,Ana Perry,64,60 and above,New,2013-12-15,136,67,115,17,21,32,1154,10
217,AW00011216,Jasmine Torres,70,60 and above,VIP,2013-02-05,146,2974,330,2,5,5,5948,18
218,AW00011217,Natalie Adams,70,60 and above,VIP,2013-02-14,146,2976,330,2,3,3,5953,18
219,AW00011218,Olivia Brown,64,60 and above,New,2014-01-04,135,19,3,2,2,3,39,11
220,AW00011219,Charles Cook,69,60 and above,New,2014-01-24,135,19,13,2,2,3,39,3
221,AW00011220,Erica Huang,64,60 and above,New,2013-12-13,136,25,5,2,4,4,50,9
222,AW00011221,Nathan Perry,70,60 and above,New,2013-10-17,138,23,7,2,4,4,46,6
223,AW00011222,Alexandra Rivera,69,60 and above,New,2013-11-28,137,104,208,2,6,6,208,0
224,AW00011223,Hailey Patterson,68,60 and above,Regular,2014-01-06,135,47,107,27,26,65,1293,12
225,AW00011224,Tiffany Li,68,60 and above,VIP,2013-12-03,136,2228,238,3,5,5,6685,28
226,AW00011225,Madison Lee,63,60 and above,New,2013-09-06,139,36,24,2,5,5,73,3
227,AW00011226,Sydney Ross,63,60 and above,New,2013-03-31,145,18,37,2,2,2,37,1
228,AW00011227,Marshall Chavez,63,60 and above,VIP,2013-02-10,146,2955,328,2,5,5,5910,18
229,AW00011228,Ashley Jones,69,60 and above,New,2014-01-17,135,38,25,2,4,4,77,3
230,AW00011229,Adrian Stewart,68,60 and above,New,2014-01-25,135,40,13,2,5,5,81,6
231,AW00011230,Amber Turner,69,60 and above,New,2013-12-09,136,27,10,2,5,5,54,5
232,AW00011231,Dennis Zhang,62,60 and above,New,2013-11-12,137,32,7,2,4,4,64,9
233,AW00011232,Hailey Bryant,67,60 and above,New,2013-11-13,137,19,19,2,2,3,39,2
234,AW00011233,Todd Li,62,60 and above,New,2013-06-08,142,89,44,2,7,7,179,4
235,AW00011234,Anna Griffin,67,60 and above,New,2013-09-19,139,38,10,2,4,4,76,7
236,AW00011235,Angel Stewart,68,60 and above,New,2014-01-05,135,69,23,2,5,6,138,6
237,AW00011236,Jeremy Butler,68,60 and above,New,2014-01-06,135,57,38,2,5,5,114,3
238,AW00011237,Clarence Anand,61,60 and above,VIP,2013-11-25,137,2641,406,4,6,6,10566,26
239,AW00011238,Mayra Prasad,61,60 and above,VIP,2013-04-30,144,1885,279,4,9,9,7543,27
240,AW00011239,Latoya Goel,56,40-59,VIP,2013-05-28,143,1877,268,4,11,11,7511,28
241,AW00011240,Anne Hernandez,61,60 and above,VIP,2013-05-13,143,1896,280,4,10,13,7586,27
242,AW00011241,Lisa Cai,51,40-59,VIP,2013-10-29,138,1638,882,7,20,25,11468,13
243,AW00011242,Larry Munoz,62,60 and above,VIP,2013-12-04,136,1581,737,7,12,12,11067,15
244,AW00011243,Robin Alvarez,62,60 and above,VIP,2013-06-09,142,1791,255,4,10,12,7164,28
245,AW00011244,Alexis Coleman,57,40-59,VIP,2013-07-19,141,1793,247,4,11,12,7175,29
246,AW00011245,Ricky Vazquez,63,60 and above,VIP,2013-12-11,136,2645,391,4,9,9,10580,27
247,AW00011246,Latasha Rubio,63,60 and above,VIP,2013-12-20,136,2643,406,4,7,7,10575,26
248,AW00011247,Claudia Zhou,64,60 and above,VIP,2013-08-17,140,1782,237,4,11,12,7131,30
249,AW00011248,Tristan Alexander,59,40-59,New,2013-07-14,141,38,38,1,3,3,38,0
250,AW00011249,Cindy Patel,59,40-59,VIP,2013-09-15,139,2472,430,4,11,11,9890,23
251,AW00011250,Shannon Liu,59,40-59,VIP,2013-08-06,140,1778,245,4,10,11,7115,29
252,AW00011251,Xavier Long,87,60 and above,New,2013-10-18,138,2319,2319,1,4,4,2319,0
253,AW00011252,Nicholas Thompson,88,60 and above,VIP,2013-12-18,136,2228,238,3,7,7,6685,28
254,AW00011253,Jos├® Hernandez,76,60 and above,New,2013-12-03,136,43,77,16,16,30,695,9
255,AW00011254,Johnathan Vance,87,60 and above,New,2013-12-14,136,102,204,2,9,9,204,1
256,AW00011255,Colin Lin,87,60 and above,New,2013-03-31,145,57,114,2,5,5,114,1
257,AW00011256,Katelyn Hernandez,86,60 and above,New,2013-10-16,138,40,13,2,5,5,81,6
258,AW00011257,Jacqueline Powell,NULL,60 and above,VIP,2013-12-14,136,2225,238,3,6,6,6676,28
259,AW00011258,Xavier Hill,87,60 and above,New,2013-07-15,141,24,24,2,4,4,49,2
260,AW00011259,Victoria Stewart,55,40-59,VIP,2013-12-20,136,2256,250,3,5,5,6770,27
261,AW00011260,Katelyn Kelly,49,40-59,New,2013-06-23,142,40,20,2,5,5,81,4
262,AW00011261,Stephanie Collins,55,40-59,VIP,2013-12-23,136,2216,246,3,4,4,6650,27
263,AW00011262,Jennifer Simmons,50,40-59,New,2014-01-22,135,41,102,27,26,63,1124,11
264,AW00011263,Trinity Richardson,55,40-59,VIP,2013-12-10,136,2251,241,3,9,9,6753,28
265,AW00011264,Eduardo Martin,56,40-59,New,2013-11-30,137,1591,318,2,8,8,3182,10
266,AW00011265,Elizabeth Jones,55,40-59,New,2013-01-03,147,2352,2352,1,3,3,2352,0
267,AW00011266,Taylor Howard,56,40-59,VIP,2013-01-20,147,2961,370,2,5,5,5922,16
268,AW00011267,David Diaz,50,40-59,VIP,2013-01-07,147,2971,371,2,5,5,5943,16
269,AW00011268,Katelyn Carter,56,40-59,New,2013-11-16,137,49,16,2,5,5,98,6
270,AW00011269,Ryan Foster,50,40-59,New,2013-09-10,139,21,42,2,3,3,42,1
271,AW00011270,Robert Lee,50,40-59,VIP,2013-01-07,147,2992,374,2,5,5,5984,16
272,AW00011271,Danielle Reed,56,40-59,VIP,2013-01-22,147,2986,373,2,5,5,5973,16
273,AW00011272,Lauren Martinez,63,60 and above,VIP,2013-01-13,147,2987,373,2,4,4,5975,16
274,AW00011273,Nathan Lal,63,60 and above,New,2013-05-23,143,136,273,2,8,8,273,0
275,AW00011274,Kyle Foster,86,60 and above,VIP,2013-02-24,146,2944,327,2,4,4,5888,18
276,AW00011275,Jenny Rai,86,60 and above,VIP,2013-01-12,147,2977,350,2,4,4,5955,17
277,AW00011276,Nancy Chapman,51,40-59,Regular,2014-01-22,135,36,82,27,22,57,987,12
278,AW00011277,Charles Jackson,57,40-59,New,2014-01-16,135,53,130,27,26,65,1434,11
